OPENADMET_CANONICAL_SMILES,PXR_pEC50,source,dataset,InChI
CC(C)(C)c1cc(O)ccc1O,5.300000000000001,ChEMBL,train,BGNXCDMCOKJUMV-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)C(F)(F)F)cc1,6.0,ChEMBL,train,YKHCWWRCGHFHFR-UHFFFAOYSA-N
CC(O)(c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,6.3,ChEMBL,train,DKJFEFWRUFUJLQ-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(CC(F)(F)F)C(F)(F)F)cc1,6.9,ChEMBL,train,WGEBFTQNSAJNQB-UHFFFAOYSA-N
CCCC(O)(c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,6.8,ChEMBL,train,REGGUSMKWKQUJO-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(CO)cc1,5.0,ChEMBL,train,GNQJQTSRHDQFTL-UHFFFAOYSA-N
CC(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,5.0,ChEMBL,train,WTZWWGVPJSFBKK-UHFFFAOYSA-N
CC(=O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,5.0,ChEMBL,train,SLRAFPZKYWAAMQ-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C2CCCCC2)C(F)(F)F)cc1,8.5,ChEMBL,train,GPCPQPXWVJMHEX-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(c2ccccc2)C(F)(F)F)cc1,7.8,ChEMBL,train,IWYOSSYNDBCVIR-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C#Cc2ccccc2)C(F)(F)F)cc1,6.0,ChEMBL,train,SAKKPZOSAFYJBK-UHFFFAOYSA-N
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,8.0,ChEMBL,train,XUVYNXAYRAIJTP-UHFFFAOYSA-N
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,5.41,ChEMBL,train,RZTAMFZIAATZDJ-UHFFFAOYSA-N
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.6,ChEMBL,train,WDXRGPWQVHZTQJ-AUKWTSKRSA-N
Clc1ccc(C2(c3nnc4n3CCCCCC4)CCC2)cc1,5.8,ChEMBL,train,FDLFGCPTRMXATH-UHFFFAOYSA-N
OCC(S)CS,4.8,ChEMBL,train,WQABCVAJNWAXTE-UHFFFAOYSA-N
C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,4.62,ChEMBL,train,DWTTZBARDOXEAM-GXTWGEPZSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1cccc2ccccc12,7.7,ChEMBL,train,CHIUGYYZRLVVDZ-UHFFFAOYSA-N
CC(c1ccccc1)n1cnc2cc(NS(=O)(=O)Cc3ccccc3Cl)ccc21,6.699999999999999,ChEMBL,train,LGZJDOMWASTSDR-UHFFFAOYSA-N
O=S(=O)(Cc1ccccc1Cl)Nc1ccc2c(c1)ncn2Cc1ccccc1,6.75,ChEMBL,train,HKRXVIMQFWPWEO-UHFFFAOYSA-N
O=[N+]([O-])c1ccccc1CS(=O)(=O)Nc1ccc2c(c1)ncn2Cc1ccccc1,6.37,ChEMBL,train,QODQOVMTJKHGJR-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1ccccc1Cl,7.22,ChEMBL,train,WQOZQUOBLZIYNU-UHFFFAOYSA-N
O=S(=O)(Cc1ccccc1Cl)Nc1ccc2ncn(Cc3ccccc3)c2c1,6.42,ChEMBL,train,IEYYYCQWCPBAIK-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2ncn(Cc3ccccc3)c2c1)c1ccccc1Cl,6.47,ChEMBL,train,VEJJVCHMEIGJOH-UHFFFAOYSA-N
O=S(=O)(Cc1ccccc1Cl)Nc1ccc2c(ccn2Cc2ccccc2)c1,6.71,ChEMBL,train,QMZRZSBKTJMQOV-UHFFFAOYSA-N
O=C(Nc1ccc2c(c1)ncn2Cc1ccccc1)Nc1ccccc1Cl,5.84,ChEMBL,train,ZVSVQDHLMBTYGU-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1ccc(-c2ccccc2)cc1,6.41,ChEMBL,train,JGTLLIWNPIIIFD-UHFFFAOYSA-N
Cc1ccccc1S(=O)(=O)Nc1ccc2c(c1)ncn2Cc1ccccc1,7.35,ChEMBL,train,HHTZXLHOANPOOG-UHFFFAOYSA-N
Cc1cc(C)cc(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)c1,7.48,ChEMBL,train,XCAPTUAWRAODGU-UHFFFAOYSA-N
Cc1cc(C)c(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)c(C)c1,8.455,ChEMBL,train,NZGPNMYYBHSCBR-UHFFFAOYSA-N
O=C(Cc1ccccc1Cl)Nc1ccc2c(c1)ncn2Cc1ccccc1,6.29,ChEMBL,train,QWUJLIKFVLFZSC-UHFFFAOYSA-N
O=C(Cc1cccc2ccccc12)Nc1ccc2c(c1)ncn2Cc1ccccc1,6.66,ChEMBL,train,AVESMQNGPHPYDW-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1ccccc1Br,7.7,ChEMBL,train,IBOYRIQWIYLDEK-UHFFFAOYSA-N
Cc1c(C)c(C)c(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)c(C)c1C,8.625,ChEMBL,train,IRGZMWLWLHSDHZ-UHFFFAOYSA-N
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)cc1,7.38,ChEMBL,train,VDPKQKVMHNDVFN-UHFFFAOYSA-N
CCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)cc1,7.28,ChEMBL,train,OGYXCETZULPTMO-UHFFFAOYSA-N
CCCCCCn1cnc2cc(NS(=O)(=O)c3ccccc3Cl)ccc21,7.26,ChEMBL,train,ZNCLZSKEXMROKZ-UHFFFAOYSA-N
CCCCCCn1cnc2cc(NS(=O)(=O)c3c(C)c(C)c(C)c(C)c3C)ccc21,7.89,ChEMBL,train,WXMHVSIFCXNEJX-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1ccccc1F,7.0,ChEMBL,train,ZBQXKOKVEDGYSJ-UHFFFAOYSA-N
O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1ccc2c(c1)ncn2Cc1ccccc1,6.57,ChEMBL,train,PNBDDUPWZUAOHG-UHFFFAOYSA-N
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)cc1,6.47,ChEMBL,train,AAOLZGDIONWLEW-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2Cc1ccccc1)c1ccc2ccccc2c1,7.29,ChEMBL,train,YMOQYLYGTHUWAV-UHFFFAOYSA-N
O=S(=O)(Nc1ccc2c(c1)ncn2-c1ccc2ccccc2c1)c1ccccc1Cl,6.42,ChEMBL,train,WXGWJXHGMTYKIF-UHFFFAOYSA-N
Cc1c(C)c(C)c(S(=O)(=O)Nc2ccc3c(c2)ncn3-c2ccc3ccccc3c2)c(C)c1C,7.26,ChEMBL,train,AHZDAAXCDKJLQU-UHFFFAOYSA-N
CCOP(=O)(OCC)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)P(=O)(OCC)OCC,6.66,ChEMBL,train,YQLJDECYQDRSBI-UHFFFAOYSA-N
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,4.95,ChEMBL,train,NZCRJKRKKOLAOJ-XRCRFVBUSA-N
CCCCN(Cc1cc(Cl)c(O)c(Cl)c1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,6.6,ChEMBL,train,TYYLMKBOWXDDCT-UHFFFAOYSA-N
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,4.475,ChEMBL,train,XUIIKFGFIJCVMT-LBPRGKRZSA-N
Cn1c(-c2ccc(-c3ccccc3)cc2)nnc1C1(c2ccc(Cl)cc2)CCC1,5.77,ChEMBL,train,UXOKGMBZBAXMDM-UHFFFAOYSA-N
Cn1c(-c2ccc(-c3ccccc3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.77,ChEMBL,train,DLCWGHYEPISYHV-UHFFFAOYSA-N
Cn1c(-c2ccc(-c3cccnc3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.44,ChEMBL,train,RAQAZKICFNGDBP-UHFFFAOYSA-N
Cn1c(-c2ccc(-c3ccncc3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.11,ChEMBL,train,LXGZRMOAZHRDOH-UHFFFAOYSA-N
CCSc1ccccc1-c1ccc(-c2nnc(C3(c4ccc(Cl)cc4)CCC3)n2C)c(Cl)c1,5.77,ChEMBL,train,FOYQEHAQUNUUQI-UHFFFAOYSA-N
Cn1c(-c2ccc(-c3ccccn3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.62,ChEMBL,train,QUFVKZHNAOJTOG-UHFFFAOYSA-N
Cn1c(-c2ccc(-n3ccnc3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,4.92,ChEMBL,train,WIHGHYGCPZDKII-UHFFFAOYSA-N
Cc1cn(-c2ccc(-c3nnc(C4(c5ccc(Cl)cc5)CCC4)n3C)c(Cl)c2)c(C2CC2)n1,5.89,ChEMBL,train,KFHSELJFIFOKEY-UHFFFAOYSA-N
Cn1c(-c2ccc(-n3ccnc3C(F)(F)F)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.5,ChEMBL,train,IUBGICNCLXPBGO-UHFFFAOYSA-N
