idx,canonical_smiles,chembl_id
3,CC[C@H](CO)NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6018199
3,CC(NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1)C(=O)O,CHEMBL5968556
3,Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)nc1,CHEMBL5911101
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CC(F)(F)C3)cc2)c1-c1nnn[nH]1,CHEMBL5844109
3,CC(C(=O)O)N(C)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6043618
3,CN(CCC(=O)O)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5972006
3,CNC(=O)CNCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5867490
3,CN(C)CCCN(C)Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5780130
3,CCCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5885255
3,Cc1cc(CNCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)n[nH]1,CHEMBL6001415
3,NS(=O)(=O)c1cccc(-c2ccc(OC3CCNCC3)cc2)c1-c1nnn[nH]1,CHEMBL6024294
3,CN1CC(NCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5753813
3,Cc1nnc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn12,CHEMBL5999327
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CNC(=O)C3)cc2)c1-c1nnn[nH]1,CHEMBL6037080
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCOCC3)cc2)c1-c1nnn[nH]1,CHEMBL5809072
3,NC1=NCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CN1,CHEMBL5943994
3,NS(=O)(=O)c1cccc(-c2ccc(CNCC(=O)NO)cc2)c1-c1nnn[nH]1,CHEMBL5886901
3,NS(=O)(=O)c1cccc(-c2ccc3nccnc3c2)c1-c1nnn[nH]1,CHEMBL5961531
3,NCCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5881632
3,C[C@@H](O)[C@H](NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1)C(=O)O,CHEMBL5903306
3,CC(CC(=O)O)NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5769375
3,CC1(C)CCN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5994328
3,CC(C)(O)C1CN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5926590
3,CN(C)CCCNCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5889158
3,Nc1[nH]nc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc12,CHEMBL5852076
3,NS(=O)(=O)c1cccc(-c2ccc(CNCC3(O)CC3)cc2)c1-c1nnn[nH]1,CHEMBL6042910
3,N#CC1(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CCOCC1,CHEMBL6036269
3,NS(=O)(=O)c1cccc(-c2ccc3nonc3c2)c1-c1nnn[nH]1,CHEMBL5831017
3,NS(=O)(=O)c1cccc(-c2ccc3cnccc3c2)c1-c1nnn[nH]1,CHEMBL6039681
3,Cc1nc(CNCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)no1,CHEMBL5746554
3,NS(=O)(=O)c1cccc(-c2ccc(CNC3CC(F)(F)C3)cc2)c1-c1nnn[nH]1,CHEMBL6035984
3,NS(=O)(=O)c1cccc(-c2ccc(CNCc3nn[nH]n3)cc2)c1-c1nnn[nH]1,CHEMBL6008460
3,NC(=O)C1CN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5750844
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCC(O)CC3)cc2)c1-c1nnn[nH]1,CHEMBL5909209
3,CN(C)CCCCNCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6051955
3,Cn1cnc(CNCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)c1,CHEMBL6037974
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCC3C(=O)O)cc2)c1-c1nnn[nH]1,CHEMBL5985058
3,NS(=O)(=O)c1cccc(-c2ccc(CNCC3(O)CCC3)cc2)c1-c1nnn[nH]1,CHEMBL5867099
3,NCCN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL6019678
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCn3nccn3)cc2)c1-c1nnn[nH]1,CHEMBL5856106
3,COC(=O)N1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5919421
3,CC(NCc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1)c1nn[nH]n1,CHEMBL5795130
3,Nc1[nH]nc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccc12,CHEMBL5789252
3,NS(=O)(=O)c1cccc(-c2cnc(NCCO)nc2)c1-c1nnn[nH]1,CHEMBL5919851
3,Cn1cc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccc2n1,CHEMBL6038908
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCNC(=O)C3)cc2)c1-c1nnn[nH]1,CHEMBL5950365
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CC(O)C(F)C3)cc2)c1-c1nnn[nH]1,CHEMBL5977504
3,CN(C)[C@@H]1CCN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5798674
3,CN(C)C1CCC(NCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5934290
3,CN1CCC(NCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL6003313
3,N#Cc1cncc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)c1,CHEMBL5993559
3,Cc1nc2ccccc2n1Cc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6039886
3,Nc1ccc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccc2n1,CHEMBL5892803
3,NCCNc1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL6035261
3,CC1(O)CN(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)C1,CHEMBL5812610
3,NS(=O)(=O)c1cccc(-c2ccc(N3CC[C@@H]3CO)nc2)c1-c1nnn[nH]1,CHEMBL5842987
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCCC3CO)cc2)c1-c1nnn[nH]1,CHEMBL5911395
3,NS(=O)(=O)c1cccc(-c2ccc(CN[C@@H]3CC[C@H](O)C3)cc2)c1-c1nnn[nH]1,CHEMBL5806220
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CC[C@H](CO)C3)cc2)c1-c1nnn[nH]1,CHEMBL5977577
3,NS(=O)(=O)c1cccc(-c2ccc(CNC3CCNC3=O)cc2)c1-c1nnn[nH]1,CHEMBL5876867
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CC[C@@H](CO)C3)cc2)c1-c1nnn[nH]1,CHEMBL5904306
3,CCN1CCC(NCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5887298
3,CC(C)[C@@H](N)CN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5874867
3,CN1CCC(NCc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1=O,CHEMBL5949259
3,CC(C)[C@H](N)CN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL6004426
3,CC(O)C1CCN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL5780973
3,NS(=O)(=O)c1cccc(-c2cnc(NC3CC3)nc2)c1-c1nnn[nH]1,CHEMBL5772461
3,Nc1ccnc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc12,CHEMBL5872461
3,Nc1nc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2s1,CHEMBL6013958
3,CC(C)(O)C1CN(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)C1,CHEMBL6052702
3,Cc1ccc(-c2ccnc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL6045354
3,NS(=O)(=O)c1cccc(-c2ccc(CN[C@H]3COC[C@@H]3O)cc2)c1-c1nnn[nH]1,CHEMBL5838514
3,NS(=O)(=O)c1cccc(-c2ccc(CNCc3ccncn3)cc2)c1-c1nnn[nH]1,CHEMBL6046540
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCc3nc[nH]n3)cc2)c1-c1nnn[nH]1,CHEMBL5748644
3,NCCCN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5953153
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCc3cn[nH]c3)cc2)c1-c1nnn[nH]1,CHEMBL5771875
3,CN1C2CCC1CC(NCc1ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc1)C2,CHEMBL5758792
3,CN1[C@@H]2CC[C@H]1CC(NCc1ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc1)C2,CHEMBL5878255
3,Cc1cccc(S(N)(=O)=O)c1-c1nnn[nH]1,CHEMBL5959571
3,Nc1ccnc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccc12,CHEMBL5763724
3,Nc1nccc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc12,CHEMBL5832795
3,CN1CCN(c2ncc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)CC1,CHEMBL5784888
3,Nc1ncc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2n1,CHEMBL5809018
3,NS(=O)(=O)c1cccc(-c2ccc(-n3cccn3)nc2)c1-c1nnn[nH]1,CHEMBL5898783
3,Nc1cnc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccc2c1,CHEMBL5990817
3,CS(=O)(=O)C1CN(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)C1,CHEMBL5907886
3,Cc1ccc(-c2cccc(C(=O)O)c2-c2nnn[nH]2)cc1,CHEMBL5281100
3,NS(=O)(=O)c1cccc(-c2ccc(C3CCN(CC4CNC4)CC3)cc2)c1-c1nnn[nH]1,CHEMBL6026956
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCc3c[nH]cn3)cc2)c1-c1nnn[nH]1,CHEMBL5807714
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCc3cc[nH]n3)cc2)c1-c1nnn[nH]1,CHEMBL6011040
3,NC(=O)C1CCN(Cc2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)C1,CHEMBL6058125
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCC(C(=O)O)C3)cc2)c1-c1nnn[nH]1,CHEMBL5814248
3,NS(=O)(=O)c1cccc(-c2ccc(CN3C[C@H](O)C[C@H]3CO)cc2)c1-c1nnn[nH]1,CHEMBL5833325
3,NS(=O)(=O)c1cccc(-c2cnc3ccccc3c2)c1-c1nnn[nH]1,CHEMBL5823997
3,NS(=O)(=O)c1cccc(-c2cnc(N3CCCCC3)nc2)c1-c1nnn[nH]1,CHEMBL6017475
3,CNCCN(C)c1ccc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5920505
3,CN(C)C1(C)CN(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)C1,CHEMBL5991125
3,CN1CCN(c2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)ccn2)CC1,CHEMBL5973746
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCc3ncc[nH]3)cc2)c1-c1nnn[nH]1,CHEMBL6064012
3,NS(=O)(=O)c1cccc(-c2ccc(CNC3CCC(=O)NC3)cc2)c1-c1nnn[nH]1,CHEMBL5762052
3,COc1ccc2cc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cnc2n1,CHEMBL5950373
3,NS(=O)(=O)c1cccc(-c2ccc(CNCCn3ccnn3)cc2)c1-c1nnn[nH]1,CHEMBL6036109
3,NS(=O)(=O)c1cccc(-c2ccc(CN3CCC(CCO)C3)cc2)c1-c1nnn[nH]1,CHEMBL5971932
3,Nc1cnc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cn1,CHEMBL5914251
3,NS(=O)(=O)c1cccc(-c2cnc(NC3CCCC3)nc2)c1-c1nnn[nH]1,CHEMBL5858235
3,NS(=O)(=O)c1cccc(-c2ccc(N3CCC(O)C3)nc2)c1-c1nnn[nH]1,CHEMBL5860272
3,NS(=O)(=O)c1cccc(-c2ccc(CNC[C@@]3(O)CCOC3)cc2)c1-c1nnn[nH]1,CHEMBL5966970
3,Cc1ccc(Cc2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)cc1,CHEMBL5887192
3,NS(=O)(=O)c1cccc(-c2ccc(-c3nnn[nH]3)cc2)c1-c1nn[nH]n1,CHEMBL5916980
3,NS(=O)(=O)c1cccc(C2=CCS(=O)(=O)CC2)c1-c1nnn[nH]1,CHEMBL5923713
3,NS(=O)(=O)c1cccc(-c2nc(-c3ccncc3)cs2)c1-c1nnn[nH]1,CHEMBL5781909
3,NS(=O)(=O)c1cccc(-c2ccc(N3CCC(CO)C3)nc2)c1-c1nnn[nH]1,CHEMBL5901025
3,CC(C)(O)C1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cn2)N1,CHEMBL5949105
3,Cn1cncc1CN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL5819702
3,Cn1ccnc1CN1CCC(c2ccc(-c3cccc(S(N)(=O)=O)c3-c3nnn[nH]3)cc2)CC1,CHEMBL6027631
3,Nc1cncc(-c2cccc(S(N)(=O)=O)c2-c2nnn[nH]2)n1,CHEMBL5798408
3,NS(=O)(=O)c1cccc(-c2ccc(NCC3CCN3)nc2)c1-c1nnn[nH]1,CHEMBL5785808
3,NS(=O)(=O)c1cccc(-c2ccc(C3CCN(CC4CCNC4)CC3)cc2)c1-c1nnn[nH]1,CHEMBL5876243
